id;d;s;ds;t;wSW;wR;kSW;SW;kR;R;ISBN;not_ISBN;OC;kPt;Pt;wPt;M;claster
98;0.06666666666666667;0.1031924774556439;0.9555023098028395;0.8525472080881837;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
99;0.06666666666666667;0.09530869566442474;0.8446003759407151;0.7994187940990845;0.0;0.5;0.0;0.0;0.06666666666666667;0.07317073171088638;0.0;0.0;0.0;0;0;0;0.0;0
100;0.06666666666666667;0.10276908412649921;0.933253465731129;0.8418887299730866;0.0;0.25;0.0;0.0;0.06666666666666667;0.03658536585544319;0.2;0.0;0.0;0;0;0;0.05;0
101;0.06666666666666667;0.10790798973384755;1.0;0.8738641643183779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;0;0.3125;2
102;0.06666666666666667;0.09291466637697164;0.8220092412650971;0.7885963393976013;0.0;0.5;0.0;0.0;0.06666666666666667;0.07317073171088638;0.0;0.0625;0.0;0;0;0;0.0625;0
103;0.06666666666666667;0.0882387698424997;0.7170403328995103;0.7383101861971493;0.0;0.444444444;0.0;0.0;0.2;0.19512195118024986;0.0;0.0;0.0;0;0;0;0.0;0
104;0.06666666666666667;0.09262386200713202;0.7645045348180697;0.761048272884735;0.233333333;0.2;0.375;0.2222222222222222;0.06666666666666667;0.029268292684354554;0.333333333;0.0;0.0;0;0;0;0.08333333325;0
105;0.06666666666666667;0.35456761599221187;0.22906802038057994;0.0;0.304166667;0.401851852;1.0;0.7724867723809524;0.6;0.5292682927575253;0.0;0.0;0.0;0;0;0;0.0;1
106;0.06666666666666667;0.10790798973384755;1.0;0.8738641643183779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;0;0.3125;2
107;0.06666666666666667;0.10286936157983835;0.8916081917565577;0.8219382452540649;0.0;0.277777778;0.0;0.0;0.2;0.12195121946936348;0.0;0.0;0.0;0;0;0;0.0;0
108;0.06666666666666667;0.07735661232291742;0.596097894508918;0.6803717923827696;0.5;0.416666667;0.125;0.15873015873015872;0.13333333333333333;0.12195121946936348;0.0;0.0;0.0;0;0;0;0.0;0
