wSW;wR;wPt;SW;R;Pt;kSW;kR;claster;SumID;F;id
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;139
0.0;1.0;0;0.0;0.0;0;0.0;0.0;-1;1.0;0;140
0.0;0.0;0;0.2380952380952381;0.0;0;0.25;0.0;0;0.48809523809523814;0;143
0.0;0.0;0;0.126984126984127;0.0;0;0.25;0.0;0;0.376984126984127;0;144
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;146
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;147
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;148
0.5;0.0;0;0.31746031746031744;0.0;0;0.25;0.0;0;1.0674603174603174;0;149
0.0;0.0;0;0.1851851850793651;0.0;0;0.25;0.0;0;0.4351851850793651;0;150
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;152
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;154
0.0;0.0;0;0.0;0.21951219513265915;0;0.0;0.0;0;0.21951219513265915;0;155
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;156
0.0;0.0;0;0.0;0.3658536585544319;0;0.0;0.0;0;0.3658536585544319;0;158
0.0;0.0;0;0.0;0.2926829268435455;0;0.0;0.0;0;0.2926829268435455;0;162
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;164
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;165
0.0;0.0;0;0.1693121692063492;0.0;0;0.25;0.0;0;0.4193121692063492;0;166
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;167
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;170
1.0;0.0;0;0.31746031746031744;0.0;0;0.0;0.0;0;1.3174603174603174;0;171
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;172
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;173
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;175
0.0;0.0;0;0.0;0.3658536585544319;0;0.0;0.0;0;0.3658536585544319;0;176
0.0;0.0;0;0.0;0.9024390244830459;0;0.0;0.8666666666666667;-1;1.7691056911497127;1;177
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;178
